trial_number,block_number,payoff,response,left,right,payoff_left,payoff_right,context,arms,choice,trial,value_left,value_right,IIU,PIU,IU,IM,Anx,ID
172,2,-5,Right,**R**,**S**,-3,-5,Lose,SR,2,4,-4,-5,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
173,2,-5,Right,**R**,**S**,-7,-5,Lose,SR,2,5,-4,-5,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
174,2,-5,Left,**R**,**S**,-5,-5,Lose,SR,1,6,-4,-5,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
175,2,-3,Left,**R**,**S**,-3,-5,Lose,SR,1,7,-4,-5,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
176,2,-4,Left,**R**,**S**,-4,-5,Lose,SR,1,8,-4,-5,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
177,2,-5,Right,**R**,**S**,-6,-5,Lose,SR,2,9,-4,-5,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
178,2,-5,Right,**R**,**S**,-4,-5,Lose,SR,2,10,-4,-5,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
179,2,-2,Left,**R**,**S**,-2,-5,Lose,SR,1,11,-4,-5,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
180,2,-4,Left,**R**,**S**,-4,-5,Lose,SR,1,12,-4,-5,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
181,18,6,Right,**r**,**R**,5,6,Win,rR,2,1,4,4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
182,18,4,Left,**r**,**R**,4,4,Win,rR,1,2,4,4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
183,18,3,Right,**r**,**R**,3,3,Win,rR,2,3,4,4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
184,18,3,Right,**r**,**R**,4,3,Win,rR,2,4,4,4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
185,18,5,Left,**r**,**R**,5,5,Win,rR,1,5,4,4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
186,18,4,Left,**r**,**R**,4,4,Win,rR,1,6,4,4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
187,18,5,Right,**r**,**R**,4,5,Win,rR,2,7,4,4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
189,18,1,Right,**r**,**R**,3,1,Win,rR,2,9,4,4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
190,18,3,Left,**r**,**R**,3,2,Win,rR,1,10,4,4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
191,18,5,Left,**r**,**R**,5,7,Win,rR,1,11,4,4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
192,18,4,Left,**r**,**R**,4,4,Win,rR,1,12,4,4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
193,12,-4,Left,**R**,**r**,-4,-5,Lose,rR,1,1,-4,-5,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
194,12,-5,Right,**R**,**r**,-4,-5,Lose,rR,2,2,-4,-5,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
195,12,-5,Right,**R**,**r**,-4,-5,Lose,rR,2,3,-4,-5,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
196,12,-6,Right,**R**,**r**,-7,-6,Lose,rR,2,4,-4,-5,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
197,12,-1,Left,**R**,**r**,-1,-4,Lose,rR,1,5,-4,-5,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
198,12,-5,Left,**R**,**r**,-5,-6,Lose,rR,1,6,-4,-5,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
199,12,-6,Right,**R**,**r**,-6,-6,Lose,rR,2,7,-4,-5,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
200,12,-3,Left,**R**,**r**,-3,-5,Lose,rR,1,8,-4,-5,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
201,12,-5,Left,**R**,**r**,-5,-5,Lose,rR,1,9,-4,-5,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
202,12,-5,Right,**R**,**r**,-4,-5,Lose,rR,2,10,-4,-5,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
203,12,-4,Right,**R**,**r**,-2,-4,Lose,rR,2,11,-4,-5,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
204,12,-3,Left,**R**,**r**,-3,-4,Lose,rR,1,12,-4,-5,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
205,3,-4,Left,**S**,**R**,-4,-4,Lose,SR,1,1,-4,-4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
206,3,-6,Right,**S**,**R**,-4,-6,Lose,SR,2,2,-4,-4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
207,3,-3,Right,**S**,**R**,-4,-3,Lose,SR,2,3,-4,-4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
208,3,-4,Left,**S**,**R**,-4,-4,Lose,SR,1,4,-4,-4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
209,3,-7,Right,**S**,**R**,-4,-7,Lose,SR,2,5,-4,-4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
210,3,-4,Left,**S**,**R**,-4,-3,Lose,SR,1,6,-4,-4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
211,3,-4,Left,**S**,**R**,-4,-4,Lose,SR,1,7,-4,-4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
212,3,-4,Left,**S**,**R**,-4,-5,Lose,SR,1,8,-4,-4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
213,3,-2,Right,**S**,**R**,-4,-2,Lose,SR,2,9,-4,-4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
214,3,-4,Left,**S**,**R**,-4,-4,Lose,SR,1,10,-4,-4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
215,3,-4,Left,**S**,**R**,-4,-1,Lose,SR,1,11,-4,-4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
216,3,-5,Right,**S**,**R**,-4,-5,Lose,SR,2,12,-4,-4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
217,9,5,Left,**S**,**R**,5,5,Win,SR,1,1,5,4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
218,9,3,Right,**S**,**R**,5,3,Win,SR,2,2,5,4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
219,9,4,Right,**S**,**R**,5,4,Win,SR,2,3,5,4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
220,9,5,Left,**S**,**R**,5,4,Win,SR,1,4,5,4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
221,9,5,Left,**S**,**R**,5,3,Win,SR,1,5,5,4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
222,9,5,Left,**S**,**R**,5,2,Win,SR,1,6,5,4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
223,9,1,Right,**S**,**R**,5,1,Win,SR,2,7,5,4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
224,9,5,Left,**S**,**R**,5,4,Win,SR,1,8,5,4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
225,9,5,Left,**S**,**R**,5,5,Win,SR,1,9,5,4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
226,9,5,Left,**S**,**R**,5,6,Win,SR,1,10,5,4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
227,9,5,Left,**S**,**R**,5,4,Win,SR,1,11,5,4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
228,9,7,Right,**S**,**R**,5,7,Win,SR,2,12,5,4,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
229,7,3,Right,**R**,**S**,3,3,Win,SR,2,1,4,3,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
230,7,3,Right,**R**,**S**,3,3,Win,SR,2,2,4,3,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
231,7,5,Left,**R**,**S**,5,3,Win,SR,1,3,4,3,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
232,7,6,Left,**R**,**S**,6,3,Win,SR,1,4,4,3,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
233,7,5,Left,**R**,**S**,5,3,Win,SR,1,5,4,3,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
234,7,7,Left,**R**,**S**,7,3,Win,SR,1,6,4,3,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
235,7,4,Left,**R**,**S**,4,3,Win,SR,1,7,4,3,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
236,7,4,Left,**R**,**S**,4,3,Win,SR,1,8,4,3,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
237,7,3,Right,**R**,**S**,1,3,Win,SR,2,9,4,3,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
238,7,4,Left,**R**,**S**,4,3,Win,SR,1,10,4,3,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
239,7,2,Left,**R**,**S**,2,3,Win,SR,1,11,4,3,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
240,7,3,Right,**R**,**S**,4,3,Win,SR,2,12,4,3,-0.7013139677136143,-1.1499472548041112,-1.148042117151464,0.2442627965562818,-0.009919142628365761,7
1,10,6,Left,**S**,**R**,6,5,Win,SR,1,1,6,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
2,10,6,Left,**S**,**R**,6,4,Win,SR,1,2,6,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
3,10,6,Left,**S**,**R**,6,5,Win,SR,1,3,6,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
4,10,1,Right,**S**,**R**,6,1,Win,SR,2,4,6,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
5,10,6,Left,**S**,**R**,6,4,Win,SR,1,5,6,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
6,10,6,Left,**S**,**R**,6,3,Win,SR,1,6,6,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
7,10,6,Left,**S**,**R**,6,2,Win,SR,1,7,6,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
8,10,6,Right,**S**,**R**,6,6,Win,SR,2,8,6,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
9,10,4,Right,**S**,**R**,6,4,Win,SR,2,9,6,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
10,10,6,Left,**S**,**R**,6,7,Win,SR,1,10,6,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
11,10,6,Left,**S**,**R**,6,4,Win,SR,1,11,6,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
12,10,6,Left,**S**,**R**,6,3,Win,SR,1,12,6,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
13,15,-2,Right,**R**,**r**,-4,-2,Lose,rR,2,1,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
14,15,-1,Right,**R**,**r**,-2,-1,Lose,rR,2,2,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
15,15,-3,Right,**R**,**r**,-7,-3,Lose,rR,2,3,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
16,15,-4,Left,**R**,**r**,-4,-2,Lose,rR,1,4,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
17,15,-3,Right,**R**,**r**,-6,-3,Lose,rR,2,5,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
18,15,-2,Right,**R**,**r**,-4,-2,Lose,rR,2,6,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
19,15,-2,Right,**R**,**r**,-5,-2,Lose,rR,2,7,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
20,15,-2,Right,**R**,**r**,-3,-2,Lose,rR,2,8,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
21,15,-2,Right,**R**,**r**,-4,-2,Lose,rR,2,9,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
22,15,-3,Right,**R**,**r**,-5,-3,Lose,rR,2,10,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
23,15,-1,Right,**R**,**r**,-1,-1,Lose,rR,2,11,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
24,15,-1,Right,**R**,**r**,-3,-1,Lose,rR,2,12,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
25,7,5,Left,**R**,**S**,5,3,Win,SR,1,1,4,3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
26,7,3,Right,**R**,**S**,7,3,Win,SR,2,2,4,3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
27,7,3,Right,**R**,**S**,4,3,Win,SR,2,3,4,3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
28,7,3,Right,**R**,**S**,2,3,Win,SR,2,4,4,3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
29,7,3,Left,**R**,**S**,3,3,Win,SR,1,5,4,3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
30,7,3,Right,**R**,**S**,4,3,Win,SR,2,6,4,3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
31,7,4,Left,**R**,**S**,4,3,Win,SR,1,7,4,3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
32,7,4,Left,**R**,**S**,4,3,Win,SR,1,8,4,3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
33,7,3,Right,**R**,**S**,6,3,Win,SR,2,9,4,3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
34,7,5,Left,**R**,**S**,5,3,Win,SR,1,10,4,3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
35,7,3,Right,**R**,**S**,1,3,Win,SR,2,11,4,3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
36,7,3,Left,**R**,**S**,3,3,Win,SR,1,12,4,3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
37,1,-6,Left,**S**,**R**,-6,-5,Lose,SR,1,1,-6,-4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
38,1,-6,Left,**S**,**R**,-6,-4,Lose,SR,1,2,-6,-4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
39,1,-2,Right,**S**,**R**,-6,-2,Lose,SR,2,3,-6,-4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
40,1,-3,Right,**S**,**R**,-6,-3,Lose,SR,2,4,-6,-4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
41,1,-7,Right,**S**,**R**,-6,-7,Lose,SR,2,5,-6,-4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
42,1,-6,Left,**S**,**R**,-6,-6,Lose,SR,1,6,-6,-4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
43,1,-6,Left,**S**,**R**,-6,-3,Lose,SR,1,7,-6,-4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
44,1,-4,Right,**S**,**R**,-6,-4,Lose,SR,2,8,-6,-4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
45,1,-5,Right,**S**,**R**,-6,-5,Lose,SR,2,9,-6,-4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
46,1,-6,Left,**S**,**R**,-6,-4,Lose,SR,1,10,-6,-4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
47,1,-4,Right,**S**,**R**,-6,-4,Lose,SR,2,11,-6,-4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
48,1,-1,Right,**S**,**R**,-6,-1,Lose,SR,2,12,-6,-4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
49,5,-2,Right,**R**,**S**,-7,-2,Lose,SR,2,1,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
50,5,-2,Right,**R**,**S**,-3,-2,Lose,SR,2,2,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
51,5,-2,Right,**R**,**S**,-2,-2,Lose,SR,2,3,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
52,5,-4,Left,**R**,**S**,-4,-2,Lose,SR,1,4,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
53,5,-2,Right,**R**,**S**,-3,-2,Lose,SR,2,5,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
54,5,-2,Right,**R**,**S**,-4,-2,Lose,SR,2,6,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
55,5,-2,Right,**R**,**S**,-4,-2,Lose,SR,2,7,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
56,5,-1,Left,**R**,**S**,-1,-2,Lose,SR,1,8,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
57,5,-2,Right,**R**,**S**,-4,-2,Lose,SR,2,9,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
58,5,-2,Right,**R**,**S**,-5,-2,Lose,SR,2,10,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
59,5,-2,Right,**R**,**S**,-5,-2,Lose,SR,2,11,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
60,5,-6,Left,**R**,**S**,-6,-2,Lose,SR,1,12,-4,-2,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
61,4,-3,Right,**R**,**S**,-4,-3,Lose,SR,2,1,-4,-3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
62,4,-3,Right,**R**,**S**,-4,-3,Lose,SR,2,2,-4,-3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
63,4,-6,Left,**R**,**S**,-6,-3,Lose,SR,1,3,-4,-3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
64,4,-3,Right,**R**,**S**,-2,-3,Lose,SR,2,4,-4,-3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
65,4,-3,Right,**R**,**S**,-5,-3,Lose,SR,2,5,-4,-3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
66,4,-3,Right,**R**,**S**,-4,-3,Lose,SR,2,6,-4,-3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
67,4,-4,Left,**R**,**S**,-4,-3,Lose,SR,1,7,-4,-3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
68,4,-3,Right,**R**,**S**,-5,-3,Lose,SR,2,8,-4,-3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
69,4,-3,Right,**R**,**S**,-3,-3,Lose,SR,2,9,-4,-3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
70,4,-3,Right,**R**,**S**,-7,-3,Lose,SR,2,10,-4,-3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
71,4,-3,Right,**R**,**S**,-3,-3,Lose,SR,2,11,-4,-3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
72,4,-3,Right,**R**,**S**,-1,-3,Lose,SR,2,12,-4,-3,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
73,19,5,Left,**r**,**R**,5,4,Win,rR,1,1,5,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
74,19,6,Left,**r**,**R**,6,6,Win,rR,1,2,5,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
75,19,5,Left,**r**,**R**,5,3,Win,rR,1,3,5,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
76,19,5,Right,**r**,**R**,6,5,Win,rR,2,4,5,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
77,19,4,Left,**r**,**R**,4,2,Win,rR,1,5,5,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
78,19,5,Left,**r**,**R**,5,5,Win,rR,1,6,5,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
79,19,6,Left,**r**,**R**,6,7,Win,rR,1,7,5,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
80,19,4,Right,**r**,**R**,5,4,Win,rR,2,8,5,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
81,19,4,Left,**r**,**R**,4,1,Win,rR,1,9,5,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
82,19,4,Right,**r**,**R**,5,4,Win,rR,2,10,5,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
83,19,4,Left,**r**,**R**,4,3,Win,rR,1,11,5,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
84,19,4,Right,**r**,**R**,5,4,Win,rR,2,12,5,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
85,9,5,Right,**S**,**R**,5,5,Win,SR,2,1,5,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
86,9,5,Left,**S**,**R**,5,2,Win,SR,1,2,5,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
87,9,5,Right,**S**,**R**,5,5,Win,SR,2,3,5,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
88,9,5,Left,**S**,**R**,5,4,Win,SR,1,4,5,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
89,9,4,Right,**S**,**R**,5,4,Win,SR,2,5,5,4,-0.42983759311479597,-0.3076664577960135,-0.30438004258770807,-1.9651494336010435,0.38684656250625904,10
